codepoints,emoji-name,keywords
🛀🏻,bath | bathtub | person taking bath | light skin tone,person taking bath: light skin tone
🛀🏼,bath | bathtub | person taking bath | medium-light skin tone,person taking bath: medium-light skin tone
🛀🏽,bath | bathtub | person taking bath | medium skin tone,person taking bath: medium skin tone
🛀🏾,bath | bathtub | person taking bath | medium-dark skin tone,person taking bath: medium-dark skin tone
🛀🏿,bath | bathtub | person taking bath | dark skin tone,person taking bath: dark skin tone
🛌🏻,hotel | person in bed | sleep | light skin tone,person in bed: light skin tone
🛌🏼,hotel | person in bed | sleep | medium-light skin tone,person in bed: medium-light skin tone
🛌🏽,hotel | person in bed | sleep | medium skin tone,person in bed: medium skin tone
🛌🏾,hotel | person in bed | sleep | medium-dark skin tone,person in bed: medium-dark skin tone
🛌🏿,hotel | person in bed | sleep | dark skin tone,person in bed: dark skin tone
🕴🏻,business | man | man in suit levitating | suit | light skin tone,man in suit levitating: light skin tone
🕴🏼,business | man | man in suit levitating | suit | medium-light skin tone,man in suit levitating: medium-light skin tone
🕴🏽,business | man | man in suit levitating | suit | medium skin tone,man in suit levitating: medium skin tone
🕴🏾,business | man | man in suit levitating | suit | medium-dark skin tone,man in suit levitating: medium-dark skin tone
🕴🏿,business | man | man in suit levitating | suit | dark skin tone,man in suit levitating: dark skin tone
🏇🏻,horse | jockey | racehorse | racing | light skin tone,horse racing: light skin tone
🏇🏼,horse | jockey | racehorse | racing | medium-light skin tone,horse racing: medium-light skin tone
🏇🏽,horse | jockey | racehorse | racing | medium skin tone,horse racing: medium skin tone
🏇🏾,horse | jockey | racehorse | racing | medium-dark skin tone,horse racing: medium-dark skin tone
🏇🏿,horse | jockey | racehorse | racing | dark skin tone,horse racing: dark skin tone
🏂🏻,ski | snow | snowboard | snowboarder | light skin tone,snowboarder: light skin tone
🏂🏼,ski | snow | snowboard | snowboarder | medium-light skin tone,snowboarder: medium-light skin tone
🏂🏽,ski | snow | snowboard | snowboarder | medium skin tone,snowboarder: medium skin tone
🏂🏾,ski | snow | snowboard | snowboarder | medium-dark skin tone,snowboarder: medium-dark skin tone
🏂🏿,ski | snow | snowboard | snowboarder | dark skin tone,snowboarder: dark skin tone
🏌🏻,ball | golf | person golfing | light skin tone,person golfing: light skin tone
🏌🏼,ball | golf | person golfing | medium-light skin tone,person golfing: medium-light skin tone
🏌🏽,ball | golf | person golfing | medium skin tone,person golfing: medium skin tone
🏌🏾,ball | golf | person golfing | medium-dark skin tone,person golfing: medium-dark skin tone
🏌🏿,ball | golf | person golfing | dark skin tone,person golfing: dark skin tone
🏌🏻‍♂,golf | man | man golfing | light skin tone,man golfing: light skin tone
🏌🏼‍♂,golf | man | man golfing | medium-light skin tone,man golfing: medium-light skin tone
🏌🏽‍♂,golf | man | man golfing | medium skin tone,man golfing: medium skin tone
🏌🏾‍♂,golf | man | man golfing | medium-dark skin tone,man golfing: medium-dark skin tone
🏌🏿‍♂,golf | man | man golfing | dark skin tone,man golfing: dark skin tone
🏌🏻‍♀,golf | woman | woman golfing | light skin tone,woman golfing: light skin tone
🏌🏼‍♀,golf | woman | woman golfing | medium-light skin tone,woman golfing: medium-light skin tone
🏌🏽‍♀,golf | woman | woman golfing | medium skin tone,woman golfing: medium skin tone
🏌🏾‍♀,golf | woman | woman golfing | medium-dark skin tone,woman golfing: medium-dark skin tone
🏌🏿‍♀,golf | woman | woman golfing | dark skin tone,woman golfing: dark skin tone
🏄🏻,person surfing | surfing | light skin tone,person surfing: light skin tone
🏄🏼,person surfing | surfing | medium-light skin tone,person surfing: medium-light skin tone
🏄🏽,person surfing | surfing | medium skin tone,person surfing: medium skin tone
🏄🏾,person surfing | surfing | medium-dark skin tone,person surfing: medium-dark skin tone
🏄🏿,person surfing | surfing | dark skin tone,person surfing: dark skin tone
🏄🏻‍♂,man | surfing | light skin tone,man surfing: light skin tone
🏄🏼‍♂,man | surfing | medium-light skin tone,man surfing: medium-light skin tone
🏄🏽‍♂,man | surfing | medium skin tone,man surfing: medium skin tone
🏄🏾‍♂,man | surfing | medium-dark skin tone,man surfing: medium-dark skin tone
🏄🏿‍♂,man | surfing | dark skin tone,man surfing: dark skin tone
🏄🏻‍♀,surfing | woman | light skin tone,woman surfing: light skin tone
🏄🏼‍♀,surfing | woman | medium-light skin tone,woman surfing: medium-light skin tone
🏄🏽‍♀,surfing | woman | medium skin tone,woman surfing: medium skin tone
🏄🏾‍♀,surfing | woman | medium-dark skin tone,woman surfing: medium-dark skin tone
🏄🏿‍♀,surfing | woman | dark skin tone,woman surfing: dark skin tone
🚣🏻,boat | person rowing boat | rowboat | light skin tone,person rowing boat: light skin tone
🚣🏼,boat | person rowing boat | rowboat | medium-light skin tone,person rowing boat: medium-light skin tone
🚣🏽,boat | person rowing boat | rowboat | medium skin tone,person rowing boat: medium skin tone
🚣🏾,boat | person rowing boat | rowboat | medium-dark skin tone,person rowing boat: medium-dark skin tone
🚣🏿,boat | person rowing boat | rowboat | dark skin tone,person rowing boat: dark skin tone
🚣🏻‍♂,boat | man | man rowing boat | rowboat | light skin tone,man rowing boat: light skin tone
🚣🏼‍♂,boat | man | man rowing boat | rowboat | medium-light skin tone,man rowing boat: medium-light skin tone
🚣🏽‍♂,boat | man | man rowing boat | rowboat | medium skin tone,man rowing boat: medium skin tone
🚣🏾‍♂,boat | man | man rowing boat | rowboat | medium-dark skin tone,man rowing boat: medium-dark skin tone
🚣🏿‍♂,boat | man | man rowing boat | rowboat | dark skin tone,man rowing boat: dark skin tone
🚣🏻‍♀,boat | rowboat | woman | woman rowing boat | light skin tone,woman rowing boat: light skin tone
🚣🏼‍♀,boat | rowboat | woman | woman rowing boat | medium-light skin tone,woman rowing boat: medium-light skin tone
🚣🏽‍♀,boat | rowboat | woman | woman rowing boat | medium skin tone,woman rowing boat: medium skin tone
🚣🏾‍♀,boat | rowboat | woman | woman rowing boat | medium-dark skin tone,woman rowing boat: medium-dark skin tone
🚣🏿‍♀,boat | rowboat | woman | woman rowing boat | dark skin tone,woman rowing boat: dark skin tone
🏊🏻,person swimming | swim | light skin tone,person swimming: light skin tone
🏊🏼,person swimming | swim | medium-light skin tone,person swimming: medium-light skin tone
🏊🏽,person swimming | swim | medium skin tone,person swimming: medium skin tone
🏊🏾,person swimming | swim | medium-dark skin tone,person swimming: medium-dark skin tone
🏊🏿,person swimming | swim | dark skin tone,person swimming: dark skin tone
🏊🏻‍♂,man | man swimming | swim | light skin tone,man swimming: light skin tone
🏊🏼‍♂,man | man swimming | swim | medium-light skin tone,man swimming: medium-light skin tone
🏊🏽‍♂,man | man swimming | swim | medium skin tone,man swimming: medium skin tone
🏊🏾‍♂,man | man swimming | swim | medium-dark skin tone,man swimming: medium-dark skin tone
🏊🏿‍♂,man | man swimming | swim | dark skin tone,man swimming: dark skin tone
🏊🏻‍♀,swim | woman | woman swimming | light skin tone,woman swimming: light skin tone
🏊🏼‍♀,swim | woman | woman swimming | medium-light skin tone,woman swimming: medium-light skin tone
🏊🏽‍♀,swim | woman | woman swimming | medium skin tone,woman swimming: medium skin tone
🏊🏾‍♀,swim | woman | woman swimming | medium-dark skin tone,woman swimming: medium-dark skin tone
🏊🏿‍♀,swim | woman | woman swimming | dark skin tone,woman swimming: dark skin tone
⛹🏻,ball | person bouncing ball | light skin tone,person bouncing ball: light skin tone
⛹🏼,ball | person bouncing ball | medium-light skin tone,person bouncing ball: medium-light skin tone
⛹🏽,ball | person bouncing ball | medium skin tone,person bouncing ball: medium skin tone
⛹🏾,ball | person bouncing ball | medium-dark skin tone,person bouncing ball: medium-dark skin tone
⛹🏿,ball | person bouncing ball | dark skin tone,person bouncing ball: dark skin tone
⛹🏻‍♂,ball | man | man bouncing ball | light skin tone,man bouncing ball: light skin tone
⛹🏼‍♂,ball | man | man bouncing ball | medium-light skin tone,man bouncing ball: medium-light skin tone
⛹🏽‍♂,ball | man | man bouncing ball | medium skin tone,man bouncing ball: medium skin tone
⛹🏾‍♂,ball | man | man bouncing ball | medium-dark skin tone,man bouncing ball: medium-dark skin tone
⛹🏿‍♂,ball | man | man bouncing ball | dark skin tone,man bouncing ball: dark skin tone
⛹🏻‍♀,ball | woman | woman bouncing ball | light skin tone,woman bouncing ball: light skin tone
⛹🏼‍♀,ball | woman | woman bouncing ball | medium-light skin tone,woman bouncing ball: medium-light skin tone
⛹🏽‍♀,ball | woman | woman bouncing ball | medium skin tone,woman bouncing ball: medium skin tone
⛹🏾‍♀,ball | woman | woman bouncing ball | medium-dark skin tone,woman bouncing ball: medium-dark skin tone
⛹🏿‍♀,ball | woman | woman bouncing ball | dark skin tone,woman bouncing ball: dark skin tone
🏋🏻,lifter | person lifting weights | weight | light skin tone,person lifting weights: light skin tone
🏋🏼,lifter | person lifting weights | weight | medium-light skin tone,person lifting weights: medium-light skin tone
🏋🏽,lifter | person lifting weights | weight | medium skin tone,person lifting weights: medium skin tone
🏋🏾,lifter | person lifting weights | weight | medium-dark skin tone,person lifting weights: medium-dark skin tone
🏋🏿,lifter | person lifting weights | weight | dark skin tone,person lifting weights: dark skin tone
🏋🏻‍♂,man | man lifting weights | weight lifter | light skin tone,man lifting weights: light skin tone
🏋🏼‍♂,man | man lifting weights | weight lifter | medium-light skin tone,man lifting weights: medium-light skin tone
🏋🏽‍♂,man | man lifting weights | weight lifter | medium skin tone,man lifting weights: medium skin tone
🏋🏾‍♂,man | man lifting weights | weight lifter | medium-dark skin tone,man lifting weights: medium-dark skin tone
🏋🏿‍♂,man | man lifting weights | weight lifter | dark skin tone,man lifting weights: dark skin tone
🏋🏻‍♀,weight lifter | woman | woman lifting weights | light skin tone,woman lifting weights: light skin tone
🏋🏼‍♀,weight lifter | woman | woman lifting weights | medium-light skin tone,woman lifting weights: medium-light skin tone
🏋🏽‍♀,weight lifter | woman | woman lifting weights | medium skin tone,woman lifting weights: medium skin tone
🏋🏾‍♀,weight lifter | woman | woman lifting weights | medium-dark skin tone,woman lifting weights: medium-dark skin tone
🏋🏿‍♀,weight lifter | woman | woman lifting weights | dark skin tone,woman lifting weights: dark skin tone
🚴🏻,bicycle | biking | cyclist | person biking | light skin tone,person biking: light skin tone
🚴🏼,bicycle | biking | cyclist | person biking | medium-light skin tone,person biking: medium-light skin tone
🚴🏽,bicycle | biking | cyclist | person biking | medium skin tone,person biking: medium skin tone
🚴🏾,bicycle | biking | cyclist | person biking | medium-dark skin tone,person biking: medium-dark skin tone
🚴🏿,bicycle | biking | cyclist | person biking | dark skin tone,person biking: dark skin tone
🚴🏻‍♂,bicycle | biking | cyclist | man | light skin tone,man biking: light skin tone
🚴🏼‍♂,bicycle | biking | cyclist | man | medium-light skin tone,man biking: medium-light skin tone
🚴🏽‍♂,bicycle | biking | cyclist | man | medium skin tone,man biking: medium skin tone
🚴🏾‍♂,bicycle | biking | cyclist | man | medium-dark skin tone,man biking: medium-dark skin tone
🚴🏿‍♂,bicycle | biking | cyclist | man | dark skin tone,man biking: dark skin tone
🚴🏻‍♀,bicycle | biking | cyclist | woman | light skin tone,woman biking: light skin tone
🚴🏼‍♀,bicycle | biking | cyclist | woman | medium-light skin tone,woman biking: medium-light skin tone
🚴🏽‍♀,bicycle | biking | cyclist | woman | medium skin tone,woman biking: medium skin tone
🚴🏾‍♀,bicycle | biking | cyclist | woman | medium-dark skin tone,woman biking: medium-dark skin tone
🚴🏿‍♀,bicycle | biking | cyclist | woman | dark skin tone,woman biking: dark skin tone
🚵🏻,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking | light skin tone,person mountain biking: light skin tone
🚵🏼,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking | medium-light skin tone,person mountain biking: medium-light skin tone
🚵🏽,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking | medium skin tone,person mountain biking: medium skin tone
🚵🏾,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking | medium-dark skin tone,person mountain biking: medium-dark skin tone
🚵🏿,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking | dark skin tone,person mountain biking: dark skin tone
🚵🏻‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain | light skin tone,man mountain biking: light skin tone
🚵🏼‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain | medium-light skin tone,man mountain biking: medium-light skin tone
🚵🏽‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain | medium skin tone,man mountain biking: medium skin tone
🚵🏾‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain | medium-dark skin tone,man mountain biking: medium-dark skin tone
🚵🏿‍♂,bicycle | bike | cyclist | man | man mountain biking | mountain | dark skin tone,man mountain biking: dark skin tone
🚵🏻‍♀,bicycle | bike | biking | cyclist | mountain | woman | light skin tone,woman mountain biking: light skin tone
🚵🏼‍♀,bicycle | bike | biking | cyclist | mountain | woman | medium-light skin tone,woman mountain biking: medium-light skin tone
🚵🏽‍♀,bicycle | bike | biking | cyclist | mountain | woman | medium skin tone,woman mountain biking: medium skin tone
🚵🏾‍♀,bicycle | bike | biking | cyclist | mountain | woman | medium-dark skin tone,woman mountain biking: medium-dark skin tone
🚵🏿‍♀,bicycle | bike | biking | cyclist | mountain | woman | dark skin tone,woman mountain biking: dark skin tone
🤸🏻,cartwheel | gymnastics | person cartwheeling | light skin tone,person cartwheeling: light skin tone
🤸🏼,cartwheel | gymnastics | person cartwheeling | medium-light skin tone,person cartwheeling: medium-light skin tone
🤸🏽,cartwheel | gymnastics | person cartwheeling | medium skin tone,person cartwheeling: medium skin tone
🤸🏾,cartwheel | gymnastics | person cartwheeling | medium-dark skin tone,person cartwheeling: medium-dark skin tone
🤸🏿,cartwheel | gymnastics | person cartwheeling | dark skin tone,person cartwheeling: dark skin tone
🤸🏻‍♂,cartwheel | gymnastics | man | man cartwheeling | light skin tone,man cartwheeling: light skin tone
🤸🏼‍♂,cartwheel | gymnastics | man | man cartwheeling | medium-light skin tone,man cartwheeling: medium-light skin tone
🤸🏽‍♂,cartwheel | gymnastics | man | man cartwheeling | medium skin tone,man cartwheeling: medium skin tone
🤸🏾‍♂,cartwheel | gymnastics | man | man cartwheeling | medium-dark skin tone,man cartwheeling: medium-dark skin tone
🤸🏿‍♂,cartwheel | gymnastics | man | man cartwheeling | dark skin tone,man cartwheeling: dark skin tone
🤸🏻‍♀,cartwheel | gymnastics | woman | woman cartwheeling | light skin tone,woman cartwheeling: light skin tone
🤸🏼‍♀,cartwheel | gymnastics | woman | woman cartwheeling | medium-light skin tone,woman cartwheeling: medium-light skin tone
🤸🏽‍♀,cartwheel | gymnastics | woman | woman cartwheeling | medium skin tone,woman cartwheeling: medium skin tone
🤸🏾‍♀,cartwheel | gymnastics | woman | woman cartwheeling | medium-dark skin tone,woman cartwheeling: medium-dark skin tone
🤸🏿‍♀,cartwheel | gymnastics | woman | woman cartwheeling | dark skin tone,woman cartwheeling: dark skin tone
🤽🏻,person playing water polo | polo | water | light skin tone,person playing water polo: light skin tone
🤽🏼,person playing water polo | polo | water | medium-light skin tone,person playing water polo: medium-light skin tone
🤽🏽,person playing water polo | polo | water | medium skin tone,person playing water polo: medium skin tone
🤽🏾,person playing water polo | polo | water | medium-dark skin tone,person playing water polo: medium-dark skin tone
🤽🏿,person playing water polo | polo | water | dark skin tone,person playing water polo: dark skin tone
🤽🏻‍♂,man | man playing water polo | water polo | light skin tone,man playing water polo: light skin tone
🤽🏼‍♂,man | man playing water polo | water polo | medium-light skin tone,man playing water polo: medium-light skin tone
🤽🏽‍♂,man | man playing water polo | water polo | medium skin tone,man playing water polo: medium skin tone
🤽🏾‍♂,man | man playing water polo | water polo | medium-dark skin tone,man playing water polo: medium-dark skin tone
🤽🏿‍♂,man | man playing water polo | water polo | dark skin tone,man playing water polo: dark skin tone
🤽🏻‍♀,water polo | woman | woman playing water polo | light skin tone,woman playing water polo: light skin tone
🤽🏼‍♀,water polo | woman | woman playing water polo | medium-light skin tone,woman playing water polo: medium-light skin tone
🤽🏽‍♀,water polo | woman | woman playing water polo | medium skin tone,woman playing water polo: medium skin tone
🤽🏾‍♀,water polo | woman | woman playing water polo | medium-dark skin tone,woman playing water polo: medium-dark skin tone
🤽🏿‍♀,water polo | woman | woman playing water polo | dark skin tone,woman playing water polo: dark skin tone
🤾🏻,ball | handball | person playing handball | light skin tone,person playing handball: light skin tone
🤾🏼,ball | handball | person playing handball | medium-light skin tone,person playing handball: medium-light skin tone
🤾🏽,ball | handball | person playing handball | medium skin tone,person playing handball: medium skin tone
🤾🏾,ball | handball | person playing handball | medium-dark skin tone,person playing handball: medium-dark skin tone
🤾🏿,ball | handball | person playing handball | dark skin tone,person playing handball: dark skin tone
🤾🏻‍♂,handball | man | man playing handball | light skin tone,man playing handball: light skin tone
🤾🏼‍♂,handball | man | man playing handball | medium-light skin tone,man playing handball: medium-light skin tone
🤾🏽‍♂,handball | man | man playing handball | medium skin tone,man playing handball: medium skin tone
🤾🏾‍♂,handball | man | man playing handball | medium-dark skin tone,man playing handball: medium-dark skin tone
🤾🏿‍♂,handball | man | man playing handball | dark skin tone,man playing handball: dark skin tone
🤾🏻‍♀,handball | woman | woman playing handball | light skin tone,woman playing handball: light skin tone
🤾🏼‍♀,handball | woman | woman playing handball | medium-light skin tone,woman playing handball: medium-light skin tone
🤾🏽‍♀,handball | woman | woman playing handball | medium skin tone,woman playing handball: medium skin tone
🤾🏾‍♀,handball | woman | woman playing handball | medium-dark skin tone,woman playing handball: medium-dark skin tone
🤾🏿‍♀,handball | woman | woman playing handball | dark skin tone,woman playing handball: dark skin tone
🤹🏻,balance | juggle | multitask | person juggling | skill | light skin tone,person juggling: light skin tone
🤹🏼,balance | juggle | multitask | person juggling | skill | medium-light skin tone,person juggling: medium-light skin tone
🤹🏽,balance | juggle | multitask | person juggling | skill | medium skin tone,person juggling: medium skin tone
🤹🏾,balance | juggle | multitask | person juggling | skill | medium-dark skin tone,person juggling: medium-dark skin tone
🤹🏿,balance | juggle | multitask | person juggling | skill | dark skin tone,person juggling: dark skin tone
🤹🏻‍♂,juggling | man | multitask | light skin tone,man juggling: light skin tone
🤹🏼‍♂,juggling | man | multitask | medium-light skin tone,man juggling: medium-light skin tone
🤹🏽‍♂,juggling | man | multitask | medium skin tone,man juggling: medium skin tone
🤹🏾‍♂,juggling | man | multitask | medium-dark skin tone,man juggling: medium-dark skin tone
🤹🏿‍♂,juggling | man | multitask | dark skin tone,man juggling: dark skin tone
🤹🏻‍♀,juggling | multitask | woman | light skin tone,woman juggling: light skin tone
🤹🏼‍♀,juggling | multitask | woman | medium-light skin tone,woman juggling: medium-light skin tone
🤹🏽‍♀,juggling | multitask | woman | medium skin tone,woman juggling: medium skin tone
🤹🏾‍♀,juggling | multitask | woman | medium-dark skin tone,woman juggling: medium-dark skin tone
🤹🏿‍♀,juggling | multitask | woman | dark skin tone,woman juggling: dark skin tone
👩‍❤‍💋‍👨,couple | kiss | woman | man,"kiss: woman, man"
👨‍❤‍💋‍👨,couple | kiss | man,"kiss: man, man"
👩‍❤‍💋‍👩,couple | kiss | woman,"kiss: woman, woman"
👩‍❤‍👨,couple | couple with heart | love | woman | man,"couple with heart: woman, man"
👨‍❤‍👨,couple | couple with heart | love | man,"couple with heart: man, man"
👩‍❤‍👩,couple | couple with heart | love | woman,"couple with heart: woman, woman"
👨‍👩‍👦,family | man | woman | boy,"family: man, woman, boy"
👨‍👩‍👧,family | man | woman | girl,"family: man, woman, girl"
👨‍👩‍👧‍👦,family | man | woman | girl | boy,"family: man, woman, girl, boy"
👨‍👩‍👦‍👦,family | man | woman | boy,"family: man, woman, boy, boy"
👨‍👩‍👧‍👧,family | man | woman | girl,"family: man, woman, girl, girl"
👨‍👨‍👦,family | man | boy,"family: man, man, boy"
👨‍👨‍👧,family | man | girl,"family: man, man, girl"
👨‍👨‍👧‍👦,family | man | girl | boy,"family: man, man, girl, boy"
👨‍👨‍👦‍👦,family | man | boy,"family: man, man, boy, boy"
👨‍👨‍👧‍👧,family | man | girl,"family: man, man, girl, girl"
👩‍👩‍👦,family | woman | boy,"family: woman, woman, boy"
👩‍👩‍👧,family | woman | girl,"family: woman, woman, girl"
👩‍👩‍👧‍👦,family | woman | girl | boy,"family: woman, woman, girl, boy"
👩‍👩‍👦‍👦,family | woman | boy,"family: woman, woman, boy, boy"
👩‍👩‍👧‍👧,family | woman | girl,"family: woman, woman, girl, girl"
👨‍👦,family | man | boy,"family: man, boy"
👨‍👦‍👦,family | man | boy,"family: man, boy, boy"
👨‍👧,family | man | girl,"family: man, girl"
👨‍👧‍👦,family | man | girl | boy,"family: man, girl, boy"
👨‍👧‍👧,family | man | girl,"family: man, girl, girl"
👩‍👦,family | woman | boy,"family: woman, boy"
👩‍👦‍👦,family | woman | boy,"family: woman, boy, boy"
👩‍👧,family | woman | girl,"family: woman, girl"
👩‍👧‍👦,family | woman | girl | boy,"family: woman, girl, boy"
👩‍👧‍👧,family | woman | girl,"family: woman, girl, girl"
🤳🏻,camera | phone | selfie | light skin tone,selfie: light skin tone
🤳🏼,camera | phone | selfie | medium-light skin tone,selfie: medium-light skin tone
🤳🏽,camera | phone | selfie | medium skin tone,selfie: medium skin tone
🤳🏾,camera | phone | selfie | medium-dark skin tone,selfie: medium-dark skin tone
🤳🏿,camera | phone | selfie | dark skin tone,selfie: dark skin tone
💪🏻,biceps | comic | flex | flexed biceps | muscle | light skin tone,flexed biceps: light skin tone
💪🏼,biceps | comic | flex | flexed biceps | muscle | medium-light skin tone,flexed biceps: medium-light skin tone
💪🏽,biceps | comic | flex | flexed biceps | muscle | medium skin tone,flexed biceps: medium skin tone
💪🏾,biceps | comic | flex | flexed biceps | muscle | medium-dark skin tone,flexed biceps: medium-dark skin tone
💪🏿,biceps | comic | flex | flexed biceps | muscle | dark skin tone,flexed biceps: dark skin tone
👈🏻,backhand | backhand index pointing left | finger | hand | index | point | light skin tone,backhand index pointing left: light skin tone
👈🏼,backhand | backhand index pointing left | finger | hand | index | point | medium-light skin tone,backhand index pointing left: medium-light skin tone
👈🏽,backhand | backhand index pointing left | finger | hand | index | point | medium skin tone,backhand index pointing left: medium skin tone
👈🏾,backhand | backhand index pointing left | finger | hand | index | point | medium-dark skin tone,backhand index pointing left: medium-dark skin tone
👈🏿,backhand | backhand index pointing left | finger | hand | index | point | dark skin tone,backhand index pointing left: dark skin tone
👉🏻,backhand | backhand index pointing right | finger | hand | index | point | light skin tone,backhand index pointing right: light skin tone
👉🏼,backhand | backhand index pointing right | finger | hand | index | point | medium-light skin tone,backhand index pointing right: medium-light skin tone
👉🏽,backhand | backhand index pointing right | finger | hand | index | point | medium skin tone,backhand index pointing right: medium skin tone
👉🏾,backhand | backhand index pointing right | finger | hand | index | point | medium-dark skin tone,backhand index pointing right: medium-dark skin tone
👉🏿,backhand | backhand index pointing right | finger | hand | index | point | dark skin tone,backhand index pointing right: dark skin tone
☝🏻,finger | hand | index | index pointing up | point | up | light skin tone,index pointing up: light skin tone
☝🏼,finger | hand | index | index pointing up | point | up | medium-light skin tone,index pointing up: medium-light skin tone
☝🏽,finger | hand | index | index pointing up | point | up | medium skin tone,index pointing up: medium skin tone
☝🏾,finger | hand | index | index pointing up | point | up | medium-dark skin tone,index pointing up: medium-dark skin tone
☝🏿,finger | hand | index | index pointing up | point | up | dark skin tone,index pointing up: dark skin tone
👆🏻,backhand | backhand index pointing up | finger | hand | index | point | up | light skin tone,backhand index pointing up: light skin tone
👆🏼,backhand | backhand index pointing up | finger | hand | index | point | up | medium-light skin tone,backhand index pointing up: medium-light skin tone
👆🏽,backhand | backhand index pointing up | finger | hand | index | point | up | medium skin tone,backhand index pointing up: medium skin tone
👆🏾,backhand | backhand index pointing up | finger | hand | index | point | up | medium-dark skin tone,backhand index pointing up: medium-dark skin tone
👆🏿,backhand | backhand index pointing up | finger | hand | index | point | up | dark skin tone,backhand index pointing up: dark skin tone
🖕🏻,finger | hand | middle finger | light skin tone,middle finger: light skin tone
🖕🏼,finger | hand | middle finger | medium-light skin tone,middle finger: medium-light skin tone
🖕🏽,finger | hand | middle finger | medium skin tone,middle finger: medium skin tone
🖕🏾,finger | hand | middle finger | medium-dark skin tone,middle finger: medium-dark skin tone
🖕🏿,finger | hand | middle finger | dark skin tone,middle finger: dark skin tone
👇🏻,backhand | backhand index pointing down | down | finger | hand | index | point | light skin tone,backhand index pointing down: light skin tone
👇🏼,backhand | backhand index pointing down | down | finger | hand | index | point | medium-light skin tone,backhand index pointing down: medium-light skin tone
👇🏽,backhand | backhand index pointing down | down | finger | hand | index | point | medium skin tone,backhand index pointing down: medium skin tone
👇🏾,backhand | backhand index pointing down | down | finger | hand | index | point | medium-dark skin tone,backhand index pointing down: medium-dark skin tone
👇🏿,backhand | backhand index pointing down | down | finger | hand | index | point | dark skin tone,backhand index pointing down: dark skin tone
✌🏻,hand | v | victory | light skin tone,victory hand: light skin tone
✌🏼,hand | v | victory | medium-light skin tone,victory hand: medium-light skin tone
✌🏽,hand | v | victory | medium skin tone,victory hand: medium skin tone
✌🏾,hand | v | victory | medium-dark skin tone,victory hand: medium-dark skin tone
✌🏿,hand | v | victory | dark skin tone,victory hand: dark skin tone
🤞🏻,cross | crossed fingers | finger | hand | luck | light skin tone,crossed fingers: light skin tone
🤞🏼,cross | crossed fingers | finger | hand | luck | medium-light skin tone,crossed fingers: medium-light skin tone
🤞🏽,cross | crossed fingers | finger | hand | luck | medium skin tone,crossed fingers: medium skin tone
🤞🏾,cross | crossed fingers | finger | hand | luck | medium-dark skin tone,crossed fingers: medium-dark skin tone
🤞🏿,cross | crossed fingers | finger | hand | luck | dark skin tone,crossed fingers: dark skin tone
🖖🏻,finger | hand | spock | vulcan | vulcan salute | light skin tone,vulcan salute: light skin tone
🖖🏼,finger | hand | spock | vulcan | vulcan salute | medium-light skin tone,vulcan salute: medium-light skin tone
🖖🏽,finger | hand | spock | vulcan | vulcan salute | medium skin tone,vulcan salute: medium skin tone
🖖🏾,finger | hand | spock | vulcan | vulcan salute | medium-dark skin tone,vulcan salute: medium-dark skin tone
🖖🏿,finger | hand | spock | vulcan | vulcan salute | dark skin tone,vulcan salute: dark skin tone
🤘🏻,finger | hand | horns | rock-on | sign of the horns | light skin tone,sign of the horns: light skin tone
🤘🏼,finger | hand | horns | rock-on | sign of the horns | medium-light skin tone,sign of the horns: medium-light skin tone
🤘🏽,finger | hand | horns | rock-on | sign of the horns | medium skin tone,sign of the horns: medium skin tone
🤘🏾,finger | hand | horns | rock-on | sign of the horns | medium-dark skin tone,sign of the horns: medium-dark skin tone
🤘🏿,finger | hand | horns | rock-on | sign of the horns | dark skin tone,sign of the horns: dark skin tone
🤙🏻,call | call me hand | hand | light skin tone,call me hand: light skin tone
🤙🏼,call | call me hand | hand | medium-light skin tone,call me hand: medium-light skin tone
🤙🏽,call | call me hand | hand | medium skin tone,call me hand: medium skin tone
🤙🏾,call | call me hand | hand | medium-dark skin tone,call me hand: medium-dark skin tone
🤙🏿,call | call me hand | hand | dark skin tone,call me hand: dark skin tone
🖐🏻,finger | hand | hand with fingers splayed | splayed | light skin tone,hand with fingers splayed: light skin tone
🖐🏼,finger | hand | hand with fingers splayed | splayed | medium-light skin tone,hand with fingers splayed: medium-light skin tone
🖐🏽,finger | hand | hand with fingers splayed | splayed | medium skin tone,hand with fingers splayed: medium skin tone
🖐🏾,finger | hand | hand with fingers splayed | splayed | medium-dark skin tone,hand with fingers splayed: medium-dark skin tone
🖐🏿,finger | hand | hand with fingers splayed | splayed | dark skin tone,hand with fingers splayed: dark skin tone
✋🏻,hand | raised hand | light skin tone,raised hand: light skin tone
✋🏼,hand | raised hand | medium-light skin tone,raised hand: medium-light skin tone
✋🏽,hand | raised hand | medium skin tone,raised hand: medium skin tone
✋🏾,hand | raised hand | medium-dark skin tone,raised hand: medium-dark skin tone
