codepoints,emoji-name,keywords
🙅🏼‍♀,forbidden | gesture | hand | no | prohibited | woman | woman gesturing NO | medium-light skin tone,woman gesturing NO: medium-light skin tone
🙅🏽‍♀,forbidden | gesture | hand | no | prohibited | woman | woman gesturing NO | medium skin tone,woman gesturing NO: medium skin tone
🙅🏾‍♀,forbidden | gesture | hand | no | prohibited | woman | woman gesturing NO | medium-dark skin tone,woman gesturing NO: medium-dark skin tone
🙅🏿‍♀,forbidden | gesture | hand | no | prohibited | woman | woman gesturing NO | dark skin tone,woman gesturing NO: dark skin tone
🙆🏻,OK | gesture | hand | person gesturing OK | light skin tone,person gesturing OK: light skin tone
🙆🏼,OK | gesture | hand | person gesturing OK | medium-light skin tone,person gesturing OK: medium-light skin tone
🙆🏽,OK | gesture | hand | person gesturing OK | medium skin tone,person gesturing OK: medium skin tone
🙆🏾,OK | gesture | hand | person gesturing OK | medium-dark skin tone,person gesturing OK: medium-dark skin tone
🙆🏿,OK | gesture | hand | person gesturing OK | dark skin tone,person gesturing OK: dark skin tone
🙆🏻‍♂,OK | gesture | hand | man | man gesturing OK | light skin tone,man gesturing OK: light skin tone
🙆🏼‍♂,OK | gesture | hand | man | man gesturing OK | medium-light skin tone,man gesturing OK: medium-light skin tone
🙆🏽‍♂,OK | gesture | hand | man | man gesturing OK | medium skin tone,man gesturing OK: medium skin tone
🙆🏾‍♂,OK | gesture | hand | man | man gesturing OK | medium-dark skin tone,man gesturing OK: medium-dark skin tone
🙆🏿‍♂,OK | gesture | hand | man | man gesturing OK | dark skin tone,man gesturing OK: dark skin tone
🙆🏻‍♀,OK | gesture | hand | woman | woman gesturing OK | light skin tone,woman gesturing OK: light skin tone
🙆🏼‍♀,OK | gesture | hand | woman | woman gesturing OK | medium-light skin tone,woman gesturing OK: medium-light skin tone
🙆🏽‍♀,OK | gesture | hand | woman | woman gesturing OK | medium skin tone,woman gesturing OK: medium skin tone
🙆🏾‍♀,OK | gesture | hand | woman | woman gesturing OK | medium-dark skin tone,woman gesturing OK: medium-dark skin tone
🙆🏿‍♀,OK | gesture | hand | woman | woman gesturing OK | dark skin tone,woman gesturing OK: dark skin tone
💁🏻,hand | help | information | person tipping hand | sassy | tipping | light skin tone,person tipping hand: light skin tone
💁🏼,hand | help | information | person tipping hand | sassy | tipping | medium-light skin tone,person tipping hand: medium-light skin tone
💁🏽,hand | help | information | person tipping hand | sassy | tipping | medium skin tone,person tipping hand: medium skin tone
💁🏾,hand | help | information | person tipping hand | sassy | tipping | medium-dark skin tone,person tipping hand: medium-dark skin tone
💁🏿,hand | help | information | person tipping hand | sassy | tipping | dark skin tone,person tipping hand: dark skin tone
💁🏻‍♂,man | man tipping hand | sassy | tipping hand | light skin tone,man tipping hand: light skin tone
💁🏼‍♂,man | man tipping hand | sassy | tipping hand | medium-light skin tone,man tipping hand: medium-light skin tone
💁🏽‍♂,man | man tipping hand | sassy | tipping hand | medium skin tone,man tipping hand: medium skin tone
💁🏾‍♂,man | man tipping hand | sassy | tipping hand | medium-dark skin tone,man tipping hand: medium-dark skin tone
💁🏿‍♂,man | man tipping hand | sassy | tipping hand | dark skin tone,man tipping hand: dark skin tone
💁🏻‍♀,sassy | tipping hand | woman | woman tipping hand | light skin tone,woman tipping hand: light skin tone
💁🏼‍♀,sassy | tipping hand | woman | woman tipping hand | medium-light skin tone,woman tipping hand: medium-light skin tone
💁🏽‍♀,sassy | tipping hand | woman | woman tipping hand | medium skin tone,woman tipping hand: medium skin tone
💁🏾‍♀,sassy | tipping hand | woman | woman tipping hand | medium-dark skin tone,woman tipping hand: medium-dark skin tone
💁🏿‍♀,sassy | tipping hand | woman | woman tipping hand | dark skin tone,woman tipping hand: dark skin tone
🙋🏻,gesture | hand | happy | person raising hand | raised | light skin tone,person raising hand: light skin tone
🙋🏼,gesture | hand | happy | person raising hand | raised | medium-light skin tone,person raising hand: medium-light skin tone
🙋🏽,gesture | hand | happy | person raising hand | raised | medium skin tone,person raising hand: medium skin tone
🙋🏾,gesture | hand | happy | person raising hand | raised | medium-dark skin tone,person raising hand: medium-dark skin tone
🙋🏿,gesture | hand | happy | person raising hand | raised | dark skin tone,person raising hand: dark skin tone
🙋🏻‍♂,gesture | man | man raising hand | raising hand | light skin tone,man raising hand: light skin tone
🙋🏼‍♂,gesture | man | man raising hand | raising hand | medium-light skin tone,man raising hand: medium-light skin tone
🙋🏽‍♂,gesture | man | man raising hand | raising hand | medium skin tone,man raising hand: medium skin tone
🙋🏾‍♂,gesture | man | man raising hand | raising hand | medium-dark skin tone,man raising hand: medium-dark skin tone
